symbol,secType,exchange,currency
MSFT,STK,SMART,USD
NVDA,STK,SMART,USD
AAPL,STK,SMART,USD
AMZN,STK,SMART,USD
GOOG,STK,SMART,USD
GOOGL,STK,SMART,USD
META,STK,SMART,USD
TSLA,STK,SMART,USD
AVGO,STK,SMART,USD
NFLX,STK,SMART,USD
COST,STK,SMART,USD
PLTR,STK,SMART,USD
ASML,STK,SMART,USD
TMUS,STK,SMART,USD
CSCO,STK,SMART,USD
AZN,STK,SMART,USD
LIN,STK,SMART,USD
INTU,STK,SMART,USD
ISRG,STK,SMART,USD
AMD,STK,SMART,USD
PEP,STK,SMART,USD
BKNG,STK,SMART,USD
ADBE,STK,SMART,USD
TXN,STK,SMART,USD
QCOM,STK,SMART,USD
AMGN,STK,SMART,USD
ARM,STK,SMART,USD
HON,STK,SMART,USD
PDD,STK,SMART,USD
GILD,STK,SMART,USD
ADP,STK,SMART,USD
APP,STK,SMART,USD
AMAT,STK,SMART,USD
CMCSA,STK,SMART,USD
MELI,STK,SMART,USD
PANW,STK,SMART,USD
CRWD,STK,SMART,USD
VRTX,STK,SMART,USD
LRCX,STK,SMART,USD
MU,STK,SMART,USD
ADI,STK,SMART,USD
KLAC,STK,SMART,USD
MSTR,STK,SMART,USD
SBUX,STK,SMART,USD
CEG,STK,SMART,USD
CTAS,STK,SMART,USD
INTC,STK,SMART,USD
DASH,STK,SMART,USD
MDLZ,STK,SMART,USD
CDNS,STK,SMART,USD
FTNT,STK,SMART,USD
ABNB,STK,SMART,USD
ORLY,STK,SMART,USD
SNPS,STK,SMART,USD
MAR,STK,SMART,USD
PYPL,STK,SMART,USD
ADSK,STK,SMART,USD
WDAY,STK,SMART,USD
CHTR,STK,SMART,USD
REGN,STK,SMART,USD
MNST,STK,SMART,USD
ROP,STK,SMART,USD
CSX,STK,SMART,USD
AXON,STK,SMART,USD
PAYX,STK,SMART,USD
MRVL,STK,SMART,USD
TEAM,STK,SMART,USD
AEP,STK,SMART,USD
CPRT,STK,SMART,USD
NXPI,STK,SMART,USD
PCAR,STK,SMART,USD
FAST,STK,SMART,USD
ROST,STK,SMART,USD
KDP,STK,SMART,USD
VRSK,STK,SMART,USD
EXC,STK,SMART,USD
TTWO,STK,SMART,USD
IDXX,STK,SMART,USD
CCEP,STK,SMART,USD
DDOG,STK,SMART,USD
FANG,STK,SMART,USD
XEL,STK,SMART,USD
CTSH,STK,SMART,USD
ZS,STK,SMART,USD
LULU,STK,SMART,USD
TTD,STK,SMART,USD
EA,STK,SMART,USD
BKR,STK,SMART,USD
ODFL,STK,SMART,USD
DXCM,STK,SMART,USD
GEHC,STK,SMART,USD
CSGP,STK,SMART,USD
MCHP,STK,SMART,USD
KHC,STK,SMART,USD
ANSS,STK,SMART,USD
WBD,STK,SMART,USD
CDW,STK,SMART,USD
GFS,STK,SMART,USD
BIIB,STK,SMART,USD
ON,STK,SMART,USD
MDB,STK,SMART,USD
